JCR Year and Edition: 2012 Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
CHEMOMETR INTELL LAB;0169-7439;4880;2.291;2.432;0.253;154;9.5;0.00612;0.595;
CIN-COMPUT INFORM NU;1538-2931;388;0.816;0.945;0.057;70;5.0;0.00098;0.239;
CLUSTER COMPUT;1386-7857;274;0.776;0.848;0.111;27;6.7;0.00083;0.329;
COGN COMPUT;1866-9956;125;0.867;1.137;0.150;40;2.8;0.00074;0.418;
COGN SYST RES;1389-0417;290;0.750;1.072;0.333;30;6.0;0.00090;0.411;
COMB PROBAB COMPUT;0963-5483;587;0.608;0.685;0.107;56;8.4;0.00566;1.260;
COMMUN ACM;0001-0782;9931;2.511;2.564;0.333;99;>10.0;0.01716;1.326;
COMPEL;0332-1649;459;0.281;0.382;0.115;139;5.5;0.00153;0.141;
COMPUT AIDED DESIGN;0010-4485;3113;1.264;1.732;0.240;104;8.4;0.00578;0.594;
COMPUT AIDED GEOM D;0167-8396;1212;0.810;1.004;0.490;51;10.0;0.00264;0.550;
COMPUT ANIMAT VIRT W;1546-4261;256;0.436;0.602;0.020;51;5.4;0.00125;0.286;
COMPUT APPL ENG EDUC;1061-3773;312;0.333;0.685;0.051;78;4.9;0.00064;0.135;
COMPUT BIOL CHEM;1476-9271;706;1.793;1.596;0.182;33;4.8;0.00265;0.558;
COMPUT BIOL MED;0010-4825;1724;1.162;1.359;0.212;137;5.7;0.00420;0.356;
COMPUT CHEM ENG;0098-1354;7048;2.091;2.367;0.373;225;8.7;0.01100;0.630;
COMPUT COMMUN;0140-3664;2594;1.079;1.227;0.082;208;5.2;0.00980;0.426;
COMPUT COMMUN REV;0146-4833;2621;0.909;2.424;0.024;126;7.0;0.00833;1.070;
COMPUT COMPLEX;1016-3328;419;0.325;1.054;0.167;18;>10.0;0.00170;1.061;
COMPUT CONCRETE;1598-8198;194;0.936;0.940;0.099;71;3.6;0.00057;0.194;
COMPUT EDUC;0360-1315;4668;2.775;3.305;0.504;238;4.0;0.01326;0.711;
COMPUT ELECTR ENG;0045-7906;564;0.928;0.970;0.155;148;3.6;0.00124;0.192;
COMPUT ELECTRON AGR;0168-1699;2535;1.766;1.998;0.223;166;5.6;0.00564;0.497;
COMPUT FLUIDS;0045-7930;3701;1.467;1.830;0.240;229;6.6;0.01336;0.858;
COMPUT GEOSCI-UK;0098-3004;4660;1.834;1.992;0.247;316;8.0;0.00985;0.671;
COMPUT GEOTECH;0266-352X;1513;1.224;1.571;0.336;113;6.2;0.00566;0.720;
COMPUT GRAPH FORUM;0167-7055;2831;1.638;1.905;0.170;235;4.4;0.02187;1.251;
COMPUT GRAPH WORLD;0271-4159;12;0.000;0.013;0.000;34;;0.00006;0.011;
COMPUT GRAPH-UK;0097-8493;981;0.794;0.866;0.538;106;7.7;0.00338;0.499;
COMPUT IND;0166-3615;1818;1.709;2.062;0.179;78;7.0;0.00334;0.540;
COMPUT IND ENG;0360-8352;4135;1.516;2.028;0.137;226;6.3;0.01065;0.627;
COMPUT INFORM;1335-9150;129;0.254;0.305;0.060;67;4.3;0.00031;0.065;
COMPUT INTELL-US;0824-7935;388;1.000;0.941;0.000;24;>10.0;0.00073;0.415;
COMPUT J;0010-4620;2216;0.755;0.954;0.208;120;>10.0;0.00301;0.398;
COMPUT LANG SYST STR;1477-8424;34;0.296;0.329;0.000;16;;0.00025;0.194;
COMPUT LINGUIST;1530-9312;1010;0.940;1.850;0.043;23;>10.0;0.00176;1.008;
COMPUT MATH APPL;0898-1221;8797;2.069;1.894;0.348;492;4.0;0.03090;0.603;
COMPUT MATH ORGAN TH;1381-298X;180;0.424;;0.043;23;7.8;0.00042;;
COMPUT METH PROG BIO;0169-2607;2461;1.555;1.589;0.143;217;7.2;0.00521;0.503;
COMPUT METHOD BIOMEC;1025-5842;1050;1.393;1.635;0.471;121;4.6;0.00349;0.553;
COMPUT MUSIC J;0148-9267;290;0.756;0.800;0.000;18;>10.0;0.00055;0.350;
COMPUT NETW;1389-1286;4109;1.231;1.520;0.307;254;6.4;0.01128;0.544;
COMPUT OPER RES;0305-0548;5810;1.909;2.374;0.350;314;6.2;0.02030;1.022;
